stop_rule,target_r,filter,period,n,E,PF,win
0.25x_ib_width,1.5,highvol_early,OOS,69,4.082880434782608,1.1498354552405012,0.4057971014492754
0.25x_ib_width,1.5,highvol_early,Train,387,-0.3835594315245478,0.921681780708986,0.43669250645994834
0.25x_ib_width,1.5,highvol_early,Validation,164,5.900533536585366,1.3465076203477833,0.4695121951219512
0.25x_ib_width,1.5,low_volume,Inner,210,2.2760416666666665,1.1914603309716345,0.47619047619047616
0.25x_ib_width,1.5,low_volume,OOS,136,-0.2860753676470588,0.9902527245396467,0.41911764705882354
0.25x_ib_width,1.5,low_volume,Train,481,-1.010849792099792,0.7827986710221403,0.3887733887733888
0.25x_ib_width,1.5,low_volume,Validation,201,0.591728855721393,1.0300048878167227,0.4228855721393035
0.25x_ib_width,2.0,all,Inner,677,1.320993353028065,1.0933770123793551,0.39586410635155095
0.25x_ib_width,2.0,all,OOS,370,2.816554054054054,1.0903426453696279,0.372972972972973
0.25x_ib_width,2.0,all,Train,1441,-0.34064885496183206,0.9333604846510207,0.37404580152671757
0.25x_ib_width,2.0,all,Validation,695,3.1651079136690647,1.149529692664565,0.3856115107913669
0.25x_ib_width,2.0,early,Inner,464,0.2902747844827586,1.019526825599623,0.3857758620689655
0.25x_ib_width,2.0,early,OOS,266,3.5728383458646618,1.1117973149822813,0.3684210526315789
0.25x_ib_width,2.0,early,Train,970,-0.34510309278350515,0.9343868675731961,0.37010309278350517
0.25x_ib_width,2.0,early,Validation,496,3.674773185483871,1.1692521981370245,0.3790322580645161
0.25x_ib_width,2.0,high_volume,Inner,195,0.6673076923076923,1.048149861239593,0.358974358974359
0.25x_ib_width,2.0,high_volume,OOS,85,2.902941176470588,1.0949723358191004,0.3411764705882353
0.25x_ib_width,2.0,high_volume,Train,481,0.11993243243243243,1.0233818872704243,0.3866943866943867
0.25x_ib_width,2.0,high_volume,Validation,188,5.267619680851064,1.2676023036260153,0.3829787234042553
0.25x_ib_width,2.0,highvol_early,Inner,167,1.439745508982036,1.1035002286851947,0.3652694610778443
0.25x_ib_width,2.0,highvol_early,OOS,69,3.795289855072464,1.1238838625746554,0.34782608695652173
0.25x_ib_width,2.0,highvol_early,Train,387,0.1610142118863049,1.0305369230298018,0.3875968992248062
0.25x_ib_width,2.0,highvol_early,Validation,164,7.068978658536586,1.36802841213468,0.3902439024390244
0.25x_ib_width,2.0,low_volume,Inner,210,3.0982142857142856,1.2450449602184455,0.43333333333333335
0.25x_ib_width,2.0,low_volume,OOS,136,0.6980698529411765,1.022785569639241,0.38235294117647056
0.25x_ib_width,2.0,low_volume,Train,481,-1.0900467775467775,0.7839723946128293,0.3264033264033264
0.25x_ib_width,2.0,low_volume,Validation,201,1.1551616915422886,1.0546058530419062,0.3681592039800995
0.50x_ib_width,0.75,all,Inner,677,3.1093057607090104,1.191398436079287,0.604135893648449
0.50x_ib_width,0.75,all,OOS,370,-3.0152027027027026,0.9266789895255699,0.5513513513513514
0.50x_ib_width,0.75,all,Train,1441,-0.620337439278279,0.8983793270050588,0.5586398334489937
0.50x_ib_width,0.75,all,Validation,695,3.799325539568345,1.1523544557597438,0.60431654676259
0.50x_ib_width,0.75,early,Inner,464,3.517780172413793,1.2099154422402985,0.6120689655172413
0.50x_ib_width,0.75,early,OOS,266,-5.973566729323308,0.8645885486018642,0.5488721804511278
0.50x_ib_width,0.75,early,Train,970,-0.698034793814433,0.8904467680608364,0.565979381443299
0.50x_ib_width,0.75,early,Validation,496,4.081905241935484,1.157194433121761,0.6088709677419355
0.50x_ib_width,0.75,high_volume,Inner,195,3.8725961538461537,1.2516663195167674,0.5897435897435898
0.50x_ib_width,0.75,high_volume,OOS,85,2.075,1.055238020670216,0.5411764705882353
0.50x_ib_width,0.75,high_volume,Train,481,-1.0356678794178795,0.8437218148307909,0.5488565488565489
0.50x_ib_width,0.75,high_volume,Validation,188,6.985206117021277,1.316485916553698,0.6276595744680851
0.50x_ib_width,0.75,highvol_early,Inner,167,5.830089820359281,1.3966491826653766,0.6047904191616766
0.50x_ib_width,0.75,highvol_early,OOS,69,6.759057971014493,1.1899501069137561,0.5797101449275363
0.50x_ib_width,0.75,highvol_early,Train,387,-0.8434270025839793,0.8735594615533604,0.5684754521963824
0.50x_ib_width,0.75,highvol_early,Validation,164,8.174542682926829,1.3740974571837177,0.6402439024390244
0.50x_ib_width,0.75,low_volume,Inner,210,3.697619047619048,1.2574175368804907,0.6047619047619047
0.50x_ib_width,0.75,low_volume,OOS,136,-5.380974264705882,0.8650290483216525,0.5294117647058824
0.50x_ib_width,0.75,low_volume,Train,481,-1.7644230769230769,0.7156468568078067,0.5093555093555093
0.50x_ib_width,0.75,low_volume,Validation,201,-0.8555659203980099,0.9678750729713952,0.572139303482587
0.50x_ib_width,1.0,all,Inner,677,2.1840841949778436,1.1143683106285471,0.534711964549483
0.50x_ib_width,1.0,all,OOS,370,-0.6557432432432433,0.9849991885186988,0.5
